x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US ACS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,453841,465742,441569,454521,491847,455879,483774,477807,486998,451055,430615,416958,408490,407622,388184,402801,386752,
2,1,389780,423767,442118,450083,473073,472448,446054,441010,456720,459034,434518,428658,403455,407468,384440,392673,362752,
3,1,398399,391933,415263,446899,439442,438134,418015,418912,427964,411425,406624,389358,384971,368925,370519,364660,345819,
4,1,335337,382076,371985,410662,396753,406636,395418,386186,390754,364457,408036,380559,383264,359194,342830,333615,325345,
5,1,341487,335939,330006,366489,374401,372380,345502,332817,347071,348548,371704,365136,362388,346197,342778,334180,309646,
6,1,300268,346822,324130,346612,341858,349902,330200,306982,326980,335680,326770,315530,325329,336399,306296,299077,285513,
7,1,299373,313115,336054,296664,313319,337992,310854,304172,312928,310977,314310,307634,295323,308981,311787,296733,281906,
8,1,294975,290853,296484,314355,324960,322192,307456,303160,293981,297222,291487,297437,289174,282806,306916,277581,283612,
9,1,300983,308082,309259,288649,301005,286222,279116,273974,295779,297573,283639,274287,276159,279149,292231,279561,273650,
10,1,270764,284188,283585,287845,280955,286824,282136,273057,264696,279455,283982,277120,256876,263277,245685,255778,275450,
11,1,265557,273127,291047,287621,288868,293891,246845,250916,260463,261477,271678,268681,260821,244353,249321,250719,250769,
12,1,266641,279351,251824,288102,275615,282918,261148,260549,257861,261607,268333,257297,261734,251686,243730,228916,235986,
13,1,235188,260254,265485,270017,278585,279214,265170,237632,249075,247295,247755,256315,240077,246619,237144,221612,229046,
14,1,225298,223582,257386,242178,263947,274015,253842,251636,242882,234717,238931,233746,253823,249738,245062,214757,221847,
15,1,225946,231759,229900,254725,258400,273091,257080,236789,231852,240826,240043,227389,230569,223679,227481,214503,219037,
16,1,211571,223110,223274,278799,253108,277603,264767,247672,242519,262253,245517,228676,226706,218584,225104,217453,219627,
17,1,236209,244161,226020,242214,242276,274702,284363,265611,255658,264886,256126,247277,241993,233741,227846,223978,220705,
18,1,335042,313081,324315,335460,344359,707497,680666,682355,706226,680732,647274,638537,643273,637654,608776,641925,614592,
19,1,487150,466411,463659,457652,477806,747507,693261,732126,702719,710339,674331,672962,649487,632974,620250,621489,617456,
20,1,635968,650414,649785,647521,658577,747896,735877,733410,729373,752993,749210,734300,709959,656523,651613,668101,639443,
21,1,691476,700374,695306,700674,732883,770583,715105,725746,741512,726048,745084,730611,700856,665082,656768,631119,614187,
