x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US ACS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,469748,492878,428034,465731,492669,485236,508214,502397,500949,478216,465470,427313,440726,442290,442951,416745,422803,
2,1,442302,456337,467185,489867,504993,485358,466589,461254,493984,480453,443152,428839,425696,419500,423465,402098,390399,
3,1,409160,412677,401500,418744,450869,468669,436783,425768,446239,426272,438179,419311,408870,409837,378552,386985,376987,
4,1,368690,381099,413154,417820,450648,443829,413563,408946,411245,400906,403339,411030,404403,393197,379824,373989,338707,
5,1,360362,381033,336346,392524,374849,386553,368687,344395,357018,365811,374311,389155,371560,376519,348889,340602,339833,
6,1,326343,338867,339664,373809,367365,359111,344911,324517,330581,332511,350430,333445,343790,324741,326957,332193,304299,
7,1,336257,307663,323905,360104,345484,365083,339466,320432,313874,321552,321391,308611,336080,329033,326215,305428,297093,
8,1,294551,314872,307378,321844,331194,326938,316132,323181,315928,305002,292670,294765,296819,296458,290540,311761,278563,
9,1,308107,278910,298228,296589,303843,338084,296146,293064,302566,301570,293327,271853,289026,282277,288776,307416,292316,
10,1,304006,301488,310854,293760,297424,311596,283424,272696,286702,292023,285846,296583,270679,280452,271260,269872,283317,
11,1,283846,272310,277789,294078,301832,295273,277787,280274,270704,283745,290045,268336,258510,258740,258911,257550,256427,
12,1,282454,258599,280891,284953,291576,296038,277583,258891,267717,274431,265032,269733,266757,241123,244314,251176,246355,
13,1,250815,259435,260635,278374,294620,293257,269661,256440,249437,264210,256306,256335,265168,263958,236508,229153,237273,
14,1,238089,239198,247921,266839,280410,289125,256409,254702,262353,259477,258225,243445,255564,236838,243970,231941,236692,
15,1,238547,238684,223508,247205,259088,284393,267383,260771,237153,268561,255510,251708,249910,247346,226358,233796,223797,
16,1,210870,225975,216257,232126,271471,291886,269204,262695,251628,265117,261669,235550,251076,243133,234822,243805,233951,
17,1,225806,234378,216716,232373,242161,286663,295073,278022,265290,285963,257544,253554,248388,245244,234165,237189,238306,
18,1,276259,274784,282755,280621,295744,589239,590622,588231,612759,594080,589844,556059,556017,572918,543656,534962,528444,
19,1,385359,409254,365688,410632,438693,697758,673591,679555,691690,679948,649320,624008,627088,611273,588316,602608,602306,
20,1,572225,526438,534531,552574,577648,748692,712618,713350,687667,718838,685801,669037,677290,658886,615282,632656,596022,
21,1,599471,661695,581922,643732,644617,769672,744275,741917,719130,704331,705654,711218,682442,657929,665924,615950,588404,
22,1,649537,700822,667130,672731,724842,761925,753939,751490,723262,728312,707767,707417,697539,714615,664535,670382,627061,
23,1,649341,697385,678801,728747,757853,772608,744765,770255,756446,716584,715935,716257,716943,710999,704587,676781,645774,
24,1,653712,679344,691930,752489,733600,758047,738946,729101,735716,700970,680134,696095,676877,711934,678271,661748,640090,
25,1,646954,610644,668204,690830,750849,820367,796576,771867,759163,752161,718158,702349,682286,730735,745528,714880,711803,
26,1,605622,601181,618339,615512,678036,741124,708229,722804,707724,651482,644549,674361,641852,665872,672812,676274,654376,
27,1,571650,588753,541665,582476,643374,669741,679613,659229,669615,640819,603137,599779,618791,620969,622434,628284,659546,
28,1,543962,555404,551365,589011,591610,622092,622012,611122,644702,604841,576027,579316,610832,622620,602366,600885,626895,
29,1,515388,513836,492659,533132,533258,553600,535554,551557,585989,560398,569354,536516,553462,566676,560998,557017,585410,
30,1,535209,522353,502888,524845,540721,593063,561488,531364,574611,576542,581345,561704,560261,550168,552996,569684,559116,
31,1,478934,465653,451236,447614,453267,512570,468763,455453,460281,488963,496094,488527,496088,482833,485657,487042,481722,
32,1,434094,457721,478887,474238,439005,487807,472186,448055,449700,453423,424287,465965,497226,494752,483593,479224,470124,
33,1,381656,424173,426227,456064,433902,456058,432332,423062,393641,420164,410867,411255,440405,466677,431636,437278,433291,
34,1,364005,376743,411102,443784,457099,445758,402399,390647,392945,381126,391141,405021,401676,422204,419638,426449,425858,
35,1,370623,389266,377578,418036,436921,483371,433077,389749,376419,379263,405377,380703,410610,411501,440094,427191,425427,
36,1,346993,330284,316743,358500,375142,424493,423830,377269,357564,358586,349428,354565,347588,363898,363257,390244,380797,
37,1,342087,336499,314740,350927,354615,387852,382558,391219,336077,327962,324435,322078,334850,335535,333084,364748,354530,
38,1,334665,332473,318050,323471,334586,381955,356844,355886,356240,346024,312709,314737,317546,305194,338048,308966,334481,
39,1,300536,329394,303071,308937,323872,337745,322851,327295,335985,335635,314110,310812,289107,298303,300035,299748,313839,
40,1,318033,341488,329199,356910,334159,394732,357168,331841,346912,335635,361007,313052,331855,314132,313871,305448,318523,
41,1,278396,298113,294040,284407,298779,321304,295907,290249,276125,293047,305394,300317,262503,267757,271343,276881,265999,
42,1,262706,258235,293014,294230,304559,343592,312605,291869,277820,274109,283091,297984,293998,289240,277412,269405,260197,
43,1,253819,267234,270142,260618,280394,322136,305259,290630,271474,268446,265151,272635,283769,276314,268204,241214,244520,
44,1,244532,245994,230997,269077,278935,303945,274530,283982,273404,257700,243933,241543,252080,260934,261978,254770,247632,
45,1,235519,225089,230311,239816,279190,302514,295197,275221,272423,276119,273200,247153,244952,262992,263003,248790,243088,
46,1,183311,220029,216196,236947,243329,275390,265821,256634,247088,251737,249532,239858,238498,230770,224694,239564,236426,
47,1,190004,209985,212822,233363,238997,256985,250255,256734,241661,250466,238434,235027,228154,217339,217837,220866,237728,
48,1,173621,180290,195248,200998,239211,246106,228301,233057,237771,238222,242443,242512,222604,227481,212754,207881,220803,
49,1,162777,184373,166575,187526,194730,239370,219352,215971,223924,228823,230417,221313,229961,216818,213879,202217,202161,
50,1,173406,159003,184632,190242,207434,229377,224698,218941,226821,242772,238244,229814,244995,236604,224977,213788,214027,
51,1,138754,159053,168180,167432,186435,198408,204501,206471,192503,215226,214138,216055,206711,207780,204832,206235,177073,
52,1,132849,143969,149390,161402,169462,187787,187753,190298,191019,197371,202343,193146,219458,210779,212311,201560,194561,
53,1,138599,163658,138054,164662,173631,184592,175757,174406,182199,182559,188962,201465,190768,203971,198692,200229,196656,
54,1,128361,138168,138042,153315,153190,173561,161490,163625,166502,186471,183473,196015,176737,194490,194561,196918,203679,
55,1,122047,129338,133777,138199,144857,168725,159114,158261,154238,171565,189898,182329,190534,191490,197392,190533,192072,
56,1,95054,104393,129028,129891,138330,157455,146005,143989,153267,155196,159846,170678,183733,174637,191145,175733,183357,
57,1,97180,104747,93338,135386,132267,144288,135350,136387,140117,150810,154691,160906,166267,164289,172852,170804,175175,
58,1,96131,107124,95597,98761,134315,143462,133366,124610,126864,135945,148854,158353,150488,158692,158028,164450,168694,
59,1,89426,94331,89488,105628,104202,137176,126774,119884,119765,119496,137110,143442,146388,154270,158302,162266,158507,
60,1,90009,92366,100586,96491,105085,116563,133710,123272,115112,135272,135630,144517,146034,149316,158151,163471,159149,
61,1,75029,73608,80471,83692,98525,101004,96994,119268,117094,113481,112293,118332,127157,138744,135426,139489,143327,
62,1,68008,75317,65731,81044,100505,108700,97127,95232,117482,119176,117238,119222,126670,135576,139411,138929,141829,
63,1,61109,59586,77008,72864,87614,94115,86778,83681,78269,113403,107146,104379,114119,130082,129368,133500,127713,
64,1,61124,63712,62215,71742,73421,86432,81686,83993,73532,83964,108613,106458,104827,119138,117007,120738,124689,
65,1,65469,67750,55362,64028,63978,77803,74402,78975,68978,80191,80184,107458,105501,106792,107674,107119,112126,
66,1,57083,56124,56263,57532,60723,62872,68713,64987,68744,68269,72056,73645,101551,92408,99106,105224,109469,
67,1,48425,58864,58542,64093,61997,67047,57083,55453,56774,64638,64130,72344,71608,94126,99761,94536,92936,
68,1,44378,41136,43014,49202,60181,53865,58951,57597,49988,53895,61857,61902,65993,77721,93578,91247,84762,
69,1,39927,44029,47361,47718,49156,52956,46478,54227,43626,57757,56360,59792,68627,69557,74169,93766,90813,
70,1,42003,36102,42564,52040,49727,50456,49992,47281,47207,48199,53386,51176,69418,70926,71661,76153,93174,
71,1,40771,45599,41515,37065,40642,45504,44501,44732,39841,44100,47256,45666,54281,62127,63593,62030,68357,
72,1,37805,39706,35999,33031,38029,41918,39317,43996,39874,40575,44537,46858,54906,52729,61451,62602,62859,
73,1,35857,38234,33502,34630,41089,42647,37589,34102,32925,33579,43202,45298,50584,57369,52603,55182,55917,
