x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US ACS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,923589,958620,869603,920252,984516,941115,991988,980204,987947,929271,896085,844271,849216,849912,831135,819546,809555,
2,1,832082,880104,909303,939950,978066,957806,912643,902264,950704,939487,877670,857497,829151,826968,807905,794771,753151,
3,1,807559,804610,816763,865643,890311,906803,854798,844680,874203,837697,844803,808669,793841,778762,749071,751645,722806,
4,1,704027,763175,785139,828482,847401,850465,808981,795132,801999,765363,811375,791589,787667,752391,722654,707604,664052,
5,1,701849,716972,666352,759013,749250,758933,714189,677212,704089,714359,746015,754291,733948,722716,691667,674782,649479,
6,1,626611,685689,663794,720421,709223,709013,675111,631499,657561,668191,677200,648975,669119,661140,633253,631270,589812,
7,1,635630,620778,659959,656768,658803,703075,650320,624604,626802,632529,635701,616245,631403,638014,638002,602161,578999,
8,1,589526,605725,603862,636199,656154,649130,623588,626341,609909,602224,584157,592202,585993,579264,597456,589342,562175,
9,1,609090,586992,607487,585238,604848,624306,575262,567038,598345,599143,576966,546140,565185,561426,581007,586977,565966,
10,1,574770,585676,594439,581605,578379,598420,565560,545753,551398,571478,569828,573703,527555,543729,516945,525650,558767,
11,1,549403,545437,568836,581699,590700,589164,524632,531190,531167,545222,561723,537017,519331,503093,508232,508269,507196,
12,1,549095,537950,532715,573055,567191,578956,538731,519440,525578,536038,533365,527030,528491,492809,488044,480092,482341,
13,1,486003,519689,526120,548391,573205,572471,534831,494072,498512,511505,504061,512650,505245,510577,473652,450765,466319,
14,1,463387,462780,505307,509017,544357,563140,510251,506338,505235,494194,497156,477191,509387,486576,489032,446698,458539,
15,1,464493,470443,453408,501930,517488,557484,524463,497560,469005,509387,495553,479097,480479,471025,453839,448299,442834,
16,1,422441,449085,439531,510925,524579,569489,533971,510367,494147,527370,507186,464226,477782,461717,459926,461258,453578,
17,1,462015,478539,442736,474587,484437,561365,579436,543633,520948,550849,513670,500831,490381,478985,462011,461167,459011,
18,1,611301,587865,607070,616081,640103,1296736,1271288,1270586,1318985,1274812,1237118,1194596,1199290,1210572,1152432,1176887,1143036,
19,1,872509,875665,829347,868284,916499,1445265,1366852,1411681,1394409,1390287,1323651,1296970,1276575,1244247,1208566,1224097,1219762,
20,1,1208193,1176852,1184316,1200095,1236225,1496588,1448495,1446760,1417040,1471831,1435011,1403337,1387249,1315409,1266895,1300757,1235465,
21,1,1290947,1362069,1277228,1344406,1377500,1540255,1459380,1467663,1460642,1430379,1450738,1441829,1383298,1323011,1322692,1247069,1202591,
22,1,1372739,1443434,1389034,1413687,1519000,1497792,1511710,1492782,1451099,1467931,1451279,1448115,1432800,1421123,1341483,1333471,1277980,
23,1,1357454,1406265,1444437,1493193,1546543,1531767,1465460,1507531,1498364,1436146,1428172,1444418,1454343,1434829,1415040,1372176,1291101,
24,1,1298166,1366210,1375986,1470741,1472208,1488621,1428314,1404970,1440969,1390001,1333000,1368353,1363072,1396596,1351505,1328674,1283360,
25,1,1265505,1253719,1315408,1365833,1457889,1545291,1497062,1481981,1471679,1456682,1426567,1381956,1377329,1406716,1459412,1403842,1408858,
26,1,1181616,1186255,1211723,1216670,1305472,1408200,1363607,1372658,1350391,1294052,1255965,1295804,1262419,1297734,1319711,1347037,1306406,
27,1,1094690,1133401,1067292,1172062,1237221,1273477,1291621,1247272,1277056,1253398,1186477,1179883,1215975,1218245,1221474,1233354,1291586,
28,1,1008800,1070086,1055005,1125625,1128776,1181504,1160001,1183893,1227876,1169658,1149155,1128806,1162717,1167451,1180091,1164869,1211726,
29,1,990721,979839,947841,1004515,1027190,1056669,1026715,1041404,1124967,1091930,1083944,1030811,1066562,1084143,1079459,1062717,1104578,
