x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US ACS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
0,1,1757534,1792486,1870250,1925847,1988292,2007701,1998761,2009674,1986840,1816038,1806090,1800055,1822442,1828855,1846080,1835923,1811174,
1,1,1882774,1881443,1782929,1840581,1890712,1861631,2011975,2050882,2068956,1960637,1873239,1880332,1871797,1890106,1883932,1904819,1908204,
2,1,1911146,1958569,2039066,1976069,2034171,2026693,2008042,2023649,2120228,2029813,2005195,1951163,1900051,1929699,1951712,1954450,1912157,
3,1,1961905,1953159,2001998,2032446,1975256,2016127,2058928,2049543,2072565,2052774,2017808,2005832,1990742,1938062,1971622,1952794,1997605,
4,1,1903342,1965086,2001905,2017477,2021411,2026995,2030426,2040647,2092179,1971637,2089508,2049261,2033910,2028624,1980194,1962901,1985546,
5,1,1923310,1891478,1883244,1914035,1924977,1939632,1916050,1899893,1961393,2036957,2027467,2040390,2042449,1949261,1939322,1907623,1883180,
6,1,1926152,1947348,1914208,1878128,1884624,1938418,1973997,1898016,1949533,1994652,1987894,1990210,2032144,2014676,1959755,1931835,1933328,
7,1,1945336,1923586,1936491,1912202,1903682,1934404,1934318,1951424,1943455,1995236,2014689,2001626,2021748,2049214,2037097,1993745,1984801,
8,1,2062704,2019389,1932446,1933327,1900968,1945697,1983391,2005160,2012525,1981382,1976789,2002799,2015911,2041231,2088449,2069558,2002098,
9,1,2047696,1995255,1996154,1955014,1932469,1895364,1912831,1947944,2014075,2052430,1996186,1962642,1995844,1954630,2033057,2080123,2093473,
10,1,2097367,2044542,2030786,1991964,1961798,1957722,1933645,1962617,1990372,2017744,2052405,2010946,2000016,2013316,2007279,2056899,2147313,
11,1,2046524,2039442,2064889,2034592,1955970,1993113,1911619,1923313,1938993,1992708,2015049,2026951,2006967,1977580,2050210,2052280,2046614,
12,1,2056022,2131944,2071493,2102836,2044420,2019877,2017882,2004270,1976603,2040802,2013410,2071865,2047884,2039828,1997283,2021442,2049778,
13,1,1964881,2103348,2080030,2081422,2069858,2047664,2016494,2007102,1994963,1994182,1985385,2066139,2032414,2084104,2012571,2000868,2009450,
14,1,1955495,1972626,2053704,2073246,2081326,2081011,2038903,2027323,2057884,2022182,2036867,2014362,2025726,2056232,2062425,2005358,2020334,
15,1,1939025,1997323,2010078,2030512,2070960,2112981,2088198,2036023,2021073,2027526,2038569,2014312,2010416,2021624,2040148,2055433,2010009,
16,1,1954046,1924189,1969974,2035219,2056900,2156564,2119856,2104019,2051224,2084795,2041583,2046786,2010263,2031301,2048110,2070208,2084427,
17,1,1908270,1939933,1919194,1912023,1989060,2051194,2107714,2120284,2072088,2103761,2073643,2026280,2013203,2015553,2033340,2021986,2044835,
18,1,1706443,1675900,1723479,1722346,1755300,2224309,2254414,2279473,2259214,2308743,2283704,2214459,2261175,2226755,2213444,2235117,2259413,
19,1,1588391,1561695,1544847,1585665,1618562,2038414,2046996,2135551,2131152,2163493,2124844,2119455,2044298,2047634,2047847,2045798,2038937,
20,1,1750165,1810647,1839367,1852435,1828290,2145412,2167576,2204563,2248402,2307175,2362837,2381335,2345795,2252187,2257187,2265682,2204193,
21,1,1855083,1892409,1888140,1853754,1893494,2090222,2068222,2094922,2135473,2214774,2321038,2316469,2258084,2237868,2238972,2158555,2182736,
22,1,1816200,1911384,1921133,1924895,1936482,1954130,2028228,2029962,2014928,2099046,2130830,2193699,2217511,2217861,2208847,2122056,2112246,
23,1,1806559,1870152,1966822,1980317,1965553,1959500,1907083,1977692,2017685,2000299,2036473,2103003,2186503,2219880,2171466,2143821,2089648,
24,1,1809169,1845397,1892143,1966449,1950844,1930704,1902645,1899365,1996535,1980554,1960141,2022665,2106425,2168365,2140847,2122280,2130625,
25,1,1804882,1859964,1867820,1880456,1990225,2077699,2117323,2131497,2142672,2127086,2192426,2144396,2223831,2259921,2354781,2352016,2308968,
26,1,1831457,1848743,1873239,1881105,1926422,2099219,2086321,2080859,2063856,2055682,2046015,2084302,2116946,2138686,2220171,2290080,2306260,
27,1,1808615,1849676,1866343,1949533,1963046,1980885,2105664,2051023,2105031,2090195,2034914,2084159,2092354,2148004,2167543,2229824,2310824,
28,1,1846452,1830897,1870921,1884787,1899841,1951767,1927188,2051309,2103014,2086453,2105327,2085611,2112465,2134075,2140892,2205430,2231086,
29,1,1938265,1825907,1812502,1823474,1830886,1887176,1886185,1917049,2071667,2045547,2058272,2057954,2009211,2116886,2100690,2113046,2178546,
30,1,2164126,2082846,1973129,1854213,1898936,1959338,1964225,2004326,2090188,2183517,2194008,2204277,2242533,2242881,2282468,2285160,2262037,
31,1,2082233,2128288,1957762,1864254,1763701,1812511,1814852,1898648,1968784,1976476,2052855,2086592,2089612,2118911,2105190,2129493,2133336,
32,1,1989595,2070856,2113910,2060818,1909129,1845398,1873052,1895052,1943163,2006282,2047382,2118222,2151026,2121136,2145388,2112604,2165214,
33,1,1975554,2017302,2076922,2093926,2017968,1918118,1848609,1866977,1886745,1916038,1954801,1996060,2064325,2112664,2110895,2146512,2116425,
34,1,1986369,2019893,2054169,2150643,2196407,2048429,1969051,1888364,1893180,1904646,1944659,1992695,1992435,2106506,2114124,2110919,2159121,
35,1,2152827,2134400,2118103,2141436,2228582,2254713,2177729,2026098,1940198,2053695,2020508,2046104,2122451,2149342,2227765,2243849,2264050,
36,1,2193879,2109474,2036490,2021714,2078401,2162920,2212532,2041529,1944194,1909012,1965937,1946571,1993490,2021399,2077640,2164394,2168843,
