x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US ACS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
0,1,1807399,1814716,1907608,2005493,2053377,2066749,2079846,2115743,2070473,1884885,1881177,1875303,1869206,1906687,1937284,1920392,1913579,
1,1,2021890,2055771,1863008,1891351,1959916,1968929,2121985,2139955,2157654,2029031,2002531,1963970,1954813,1973514,2019111,1995090,1985921,
2,1,2023338,2058029,2098997,2053822,2118474,2139210,2104793,2136233,2233519,2133436,2055087,2025695,1997368,2011657,2036235,2053005,2050260,
3,1,1970002,2042830,2052851,2122127,2105474,2139847,2130186,2157955,2187383,2105213,2136593,2091292,2077919,2068291,2028022,2063140,2070811,
4,1,1995899,2047113,2118103,2137360,2165480,2125000,2150929,2154669,2182445,2111868,2157158,2168918,2163469,2122792,2079076,2083597,2085437,
5,1,1970422,2028998,1990954,1988832,1998745,2012698,1978335,2013715,2039735,2072915,2082389,2166937,2131109,2056361,2022951,2030513,1954923,
6,1,1990688,1971152,1979212,1989640,1983420,2007597,2022393,1965077,2022243,2046046,2110368,2108429,2111914,2110333,2063729,2061114,1977187,
7,1,2102413,2032032,2028780,2062770,2007826,2005302,2039667,2056796,2021689,2078134,2078054,2107469,2121307,2156221,2148169,2086012,2027585,
8,1,2059823,2083548,2033831,1995762,1976573,2049286,2025939,2089805,2100917,2084026,2029510,2081679,2060633,2094062,2164939,2166438,2099468,
9,1,2138313,2050104,2107111,2025175,1987536,2047293,2029019,2045965,2093545,2083007,2075963,2061557,2095451,2085472,2135774,2184354,2161754,
10,1,2192935,2190923,2139070,2089561,2075245,2085968,2053512,2047373,2097957,2163598,2129463,2107944,2101494,2141105,2139334,2105533,2208784,
11,1,2206237,2164115,2173405,2124456,2098011,2049592,2078111,2032355,2094524,2107409,2160556,2120858,2083192,2086115,2055652,2109765,2160616,
12,1,2174535,2204698,2215454,2153780,2139237,2113056,2113452,2078096,2113993,2158801,2123431,2143136,2157515,2062792,2073336,2120613,2163207,
13,1,2092127,2163475,2167570,2204977,2161377,2138871,2094951,2105047,2123816,2132529,2117189,2121972,2157455,2176887,2098252,2105525,2172582,
14,1,2091908,2089529,2144608,2197079,2214297,2172554,2144787,2126891,2135588,2146359,2119787,2131735,2150228,2185311,2159468,2123304,2179540,
15,1,2063750,2000626,2081970,2109400,2184627,2245616,2192415,2135867,2109607,2179558,2158170,2118763,2135327,2139940,2157508,2135596,2096366,
16,1,1999594,2081337,2052421,2079761,2155453,2245030,2237748,2198622,2168336,2234154,2175266,2121496,2126833,2115444,2154922,2202094,2164639,
17,1,1987382,2012527,2045962,1997819,2075645,2159732,2251826,2228683,2193878,2206141,2206227,2153093,2132457,2134934,2126006,2127051,2166913,
18,1,1873103,1864221,1869163,1906622,1877490,2315687,2351718,2452227,2396545,2402830,2410148,2355638,2325112,2312080,2317251,2318108,2339737,
19,1,1676298,1681692,1652686,1698321,1743965,2176221,2219156,2244235,2252098,2285605,2245112,2205540,2194342,2187221,2127160,2159512,2178486,
20,1,1843829,1789088,1930250,1918555,1944479,2339717,2378006,2352113,2392195,2430412,2472651,2476956,2456760,2451195,2386522,2374932,2362886,
21,1,1831341,1946960,1874729,1971402,1913858,2260734,2260332,2223152,2289238,2320761,2405722,2430060,2412758,2383081,2378642,2323452,2281496,
22,1,1803527,1879334,1934395,1928037,1976284,2093433,2142863,2132858,2162331,2170346,2242300,2311430,2359592,2322104,2315139,2318551,2264657,
23,1,1752485,1842925,1926031,1935291,1960901,2065927,2020249,2111533,2146034,2088211,2162506,2207109,2288357,2295390,2271728,2234793,2198529,
24,1,1811181,1833748,1898571,2008103,1955184,2038091,2026680,2013762,2094113,2098945,2050183,2102663,2179047,2237822,2270743,2195538,2201315,
