x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US ACS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
0,1,3564933,3607202,3777858,3931340,4041669,4074450,4078607,4125417,4057313,3700923,3687267,3675358,3691648,3735542,3783364,3756315,3724753,
1,1,3904664,3937214,3645937,3731932,3850628,3830560,4133960,4190837,4226610,3989668,3875770,3844302,3826610,3863620,3903043,3899909,3894125,
2,1,3934484,4016598,4138063,4029891,4152645,4165903,4112835,4159882,4353747,4163249,4060282,3976858,3897419,3941356,3987947,4007455,3962417,
3,1,3931907,3995989,4054849,4154573,4080730,4155974,4189114,4207498,4259948,4157987,4154401,4097124,4068661,4006353,3999644,4015934,4068416,
4,1,3899241,4012199,4120008,4154837,4186891,4151995,4181355,4195316,4274624,4083505,4246666,4218179,4197379,4151416,4059270,4046498,4070983,
5,1,3893732,3920476,3874198,3902867,3923722,3952330,3894385,3913608,4001128,4109872,4109856,4207327,4173558,4005622,3962273,3938136,3838103,
6,1,3916840,3918500,3893420,3867768,3868044,3946015,3996390,3863093,3971776,4040698,4098262,4098639,4144058,4125009,4023484,3992949,3910515,
7,1,4047749,3955618,3965271,3974972,3911508,3939706,3973985,4008220,3965144,4073370,4092743,4109095,4143055,4205435,4185266,4079757,4012386,
8,1,4122527,4102937,3966277,3929089,3877541,3994983,4009330,4094965,4113442,4065408,4006299,4084478,4076544,4135293,4253388,4235996,4101566,
9,1,4186009,4045359,4103265,3980189,3920005,3942657,3941850,3993909,4107620,4135437,4072149,4024199,4091295,4040102,4168831,4264477,4255227,
10,1,4290302,4235465,4169856,4081525,4037043,4043690,3987157,4009990,4088329,4181342,4181868,4118890,4101510,4154421,4146613,4162432,4356097,
11,1,4252761,4203557,4238294,4159048,4053981,4042705,3989730,3955668,4033517,4100117,4175605,4147809,4090159,4063695,4105862,4162045,4207230,
12,1,4230557,4336642,4286947,4256616,4183657,4132933,4131334,4082366,4090596,4199603,4136841,4215001,4205399,4102620,4070619,4142055,4212985,
