x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US CPS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
0,1,0,22407.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,453000.2,457837.2,398899.8,420790.1,466608.4,466301.3,456624.6,435108.4,479555.3,445230.7,399765,450721.7,382272.2,428867.2,372600.2,425813.5,344017.2,
2,1,434002.8,394123.1,465595,407072.6,474436.3,438156.5,364938.6,375381.2,399384.8,425916.5,404327.4,378305.9,342602.8,398140.3,327126.9,358035.3,285791.9,
3,1,385351.7,396740.4,385903.5,417077.3,410191.2,387542.3,401642,330089.5,361652.3,419902.8,366067,379339,305242.5,287340.5,362573.9,298981.3,292405.1,
4,1,361473.5,395170.6,413890.6,384235.4,366031.3,424624.8,328377.5,286134.6,359335.3,304189.7,322350.6,364481.2,317322.5,322796.3,349513.1,250257.6,304396.2,
5,1,348902.9,320820.8,311942.3,393801.4,314532.8,337360.6,410083,281118.9,281583.7,299079,299484.2,344189,290265.8,233286,311572,238269.5,303093.3,
6,1,326824.2,326528.6,278885.8,325856.7,366752.1,300884.6,333110.7,244615.2,296756.5,345650.4,284528.6,319651.6,308812.5,284201.2,305699.1,288753.9,271538.7,
7,1,315151.6,349081.7,264373.4,270843.7,314503.5,284297.8,273995.6,257733.6,272402,312919.8,268075,231298.5,269206,276891.2,242813.4,258592.9,266839.6,
8,1,311970.3,312706.5,274515.1,286739.5,283897.1,294330.7,264200.9,238294.6,251646.5,298695.3,325890.2,235857.1,263154.2,240065.9,261961.4,249477,239219.4,
9,1,309553.4,295330.5,310567.7,232574.7,284758.9,276431.4,293425.2,262954,266072.5,252150,212049.5,242303.9,263011.4,208697.4,245915.4,273027.2,186378.8,
10,1,312869,298564.1,297329.8,216079.9,256708.4,253656.9,216081.7,258761.1,215558.1,236978.4,275035.8,258891.8,231640.3,247060.3,228558.7,212842.7,236506.7,
11,1,243842.9,315969.8,266880.2,302509.2,255274.8,240028.4,251416.7,197113.8,221011.8,225606.3,188038.5,214654.3,247560.7,198803.7,191843.8,229231.9,206343.2,
12,1,260713,255747.5,272514.3,286848.5,307156.6,236012.8,239042.2,202697.9,194587.9,243100.2,213024.9,221712.9,262514.8,194031.4,195138.8,195143.3,179515.5,
13,1,264028.8,262548.3,254129.2,278929.1,263619.8,266543.3,245606.2,204629.6,221595.2,185540.1,208637.2,233904.3,193224.9,131690.7,169670.4,182081.5,176577.4,
14,1,251500.1,286521.5,243122.1,247154.1,229209.5,239005,229281.8,211716.2,219704.3,218226.7,229449,235806.4,198401.8,214001.1,240291.5,195758.8,180658.9,
15,1,218285.5,257624.3,252677,214110.1,186547.1,258917,248021.6,217656.7,186577.1,215697,180371.8,234399.2,230296.3,187620.4,186029.5,197924.5,148635.8,
16,1,232348.4,202333.7,261142,293354.9,282257.9,254814.1,258782.9,204268.7,266006.8,244650.3,229116.2,209891.6,224013.2,142352.8,190108.2,204823.2,237786.7,
17,1,256411.2,264490,246917.3,251884.5,185185.6,248355.8,238513.7,193670.9,206105.3,227693.7,220933.5,241005.1,219173.2,191778.6,219701.7,163311.1,207111.3,
18,1,311104.2,342831.3,337213,253655,303868.6,331204.8,270132.2,280859.3,261627.9,297485.8,263629,264953.6,268367.9,238905.2,257339.1,232579.9,220972.1,
19,1,513322.8,510870.2,416205.3,357444.3,402405.9,424093.4,426168.1,351536.2,405328.4,376232.7,354698.7,298268.8,307250.9,302063.6,299231.5,339672.2,336615.5,
20,1,596116.1,678272.4,547504.2,572417.3,584050.2,518288.6,535181.2,449089.1,483335.7,481436,483915.7,466155.4,522208.8,475546.6,417160.3,453519.4,462304.5,
21,1,590215.5,581886.2,618772.5,575527.9,611011.7,477930.8,543531.3,528136.5,568450,634190.9,543872.9,582474.3,537278.9,425021.6,480553.4,444571.1,496583.7,
22,1,653911.7,683503.1,610830.1,656278.2,610233.8,641787.7,610446.7,644523.7,631161.4,636777.3,539966.8,658530.3,620493.3,560757.9,574791.4,481968.9,490295.7,
23,1,685517.2,646079.7,655913.7,703283.6,646333.4,656655.5,587129.2,681341.6,624611,595536.8,638650.9,685168.8,663399.7,665755.4,563424.9,666850.8,588173.4,
24,1,690302.5,689824.6,745815.3,627280.8,665063.4,675358.5,598926.8,653302.7,642317.8,646913.2,599593.3,573756.4,582636.4,679757.8,640309.2,604838.2,576560.1,
25,1,598468.1,640199.1,579952.3,635892.5,642358.7,593300.3,553187.2,581718.8,570887.3,626042.5,549050.9,539739.7,585398.1,490296.1,577854.3,672075.5,573636.1,
26,1,575127.8,547185.4,569503.5,573597.2,550867.4,595897.1,552304.4,587291.3,539534.3,498707.8,596764,565117.1,516645.3,549941.8,582871.8,557745.3,611694.2,
27,1,499028.1,541318.9,498748.9,482175.5,535957.6,504344.6,596153.1,513072.3,593618.6,561526.4,464430.2,479316.5,506996.9,489279.8,515072.9,448570.2,525269.4,
28,1,516253.9,517732.1,523289.6,544931.6,471955.3,507776.1,446969.6,465458.8,480084.4,540593.5,502956,465016.5,470142.4,475696,531577.9,510646.1,458822.1,
29,1,477617.2,491310.6,444666.7,478274.1,470946.9,457558.9,452862.4,395959.2,513859.4,457934.2,484881.4,495299.6,438669,397269.6,429472,491923.5,476329.9,
30,1,536865.1,489366.3,420337.8,406665.4,448700,488341.7,396212.1,398865.1,411344.2,410146.8,404907,389687.4,421070.5,467953.8,373505.5,411304.4,470027.8,
31,1,385692.6,415879.7,409831.5,365793.3,324544.3,376367.5,444359.2,338715.3,381787.3,406338.9,363412.2,349745.8,344668.7,360664.7,376493,338833.1,407887.3,
32,1,417438.9,440339.6,411662.2,372174,417282.7,348068.2,303789.6,281259.8,363885.5,356786.1,345299.1,306268,341836.3,352506.7,350317.6,319016,392606.8,
33,1,367961,356843,437226.5,356788.1,373346.9,362045.2,315229.8,362682.7,281648.3,323845.1,272432,346353.3,286751.5,327231.2,325526.3,335707.6,281839.4,
34,1,355187.8,351241,313152.1,304248.1,345367.8,291784.9,322273.4,242427.1,265500.6,297917.8,288694.7,398123.8,274470.9,304524.2,354830.3,256475.7,261179.5,
35,1,329699.9,303170.6,316977.1,363227.1,362681.2,362045.3,318235.2,263117.9,301641.9,304840.6,242764.7,298633.2,293767.9,244677.7,313411.8,279015.7,284569.1,
36,1,363066.9,342544.5,301727.9,307004.8,273167.6,292243.2,354849.7,246739,257360.8,272711.8,259802.9,276555.2,258404.1,203183.6,283442,323239.7,253907.1,
37,1,339975.5,336668.3,300909.8,286723.5,262973.1,299780.1,249605.1,283637.7,277718.4,243976.6,193216.7,203556.2,193979.5,258759.3,247392.7,240531.4,252324.6,
38,1,288074.5,306805.4,315951.2,274234.9,283329.7,259383.2,267399.2,245279.5,260786.7,279131.7,197377.9,215375.6,268888.8,164200.3,220130.4,246294.5,240055.2,
39,1,268056.4,319608,312680.7,244016,286245.6,277981.2,234410.9,218125,269727.5,208094.7,224325.3,275601.6,262183.6,291491.1,233358.7,196903.2,238369,
40,1,290305.2,290105.7,277532.8,304487.2,285553.6,274994.8,259858.1,204704.4,254753.5,249348,286580,176943.7,253308.8,234491.1,177248.7,197166.9,226084.3,
41,1,250651.9,257967.4,257540,282176.7,261795.6,252241.5,244327.1,180150.4,205782,170565.5,208984.9,252245.9,171018.7,149002.4,225175.7,198602.8,214179.2,
42,1,251701.5,274676.2,289476.7,245263.2,227672,274099.2,247115.6,214513.6,214908.1,196386.1,195680,205017.4,242163,227232.8,184417.3,151254.2,215212.7,
