x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US CPS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
0,1,0,14953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,458697.4,501497.9,458142.5,501553.4,523685.3,487873.6,494066.5,382952.4,415329.9,450778.2,405968.7,469332.9,356848.3,370616.4,399378.9,437957.4,345941.1,
2,1,441102.9,425518.3,464757.7,481461,432397.6,410939.6,365389.9,396706.8,422026.2,399098,340082.1,357313.2,356126.3,404344.2,335870.4,350622,322710.9,
3,1,445214.5,380707.3,478647.7,391713.3,442181.2,413914.8,436367.3,351672.8,414947.1,408181.6,376182.9,314649.1,365464.4,352774.5,396400.1,382832.9,286644.7,
4,1,362387.7,351582.1,446736.2,384750,366286.9,396207.8,369776.8,349818.7,381580.5,366996.5,336878.2,375427.8,313037.7,360437,329706.4,349712.7,299061.8,
5,1,384219.4,407795,354583.4,356004.9,329607.6,341629.3,390226.4,304600.8,340752.8,284399.1,361508.9,333177.6,327989.6,254371.9,335797.4,257151.9,318866.6,
6,1,361028.7,369111.9,371892.2,294868.1,331415.6,333902.6,338909.9,289239.9,277900.1,291818,282198.5,308575.5,308205.4,351824.7,330593,307419.3,289519.9,
7,1,363603.6,348311.6,342589.8,284662.3,304327,338930,303565.7,272730.6,319258.1,312944.9,297306.5,336659.6,286626.9,183695.5,296302.9,275741,234158.9,
8,1,320874.1,332029.9,319883.3,361759.9,294830.4,301334.2,287109.6,252439.7,306665,271199.6,259928.9,254751.1,271951.7,290764.9,238411.8,276849.7,266941,
9,1,351568.8,284317.6,294502.6,316663.7,316588.8,290078.4,266403.1,247508.3,250946.2,261657.2,280848,277652.9,240568.6,257556,257101.6,239660.8,228131.8,
10,1,322704.5,354045.4,301067.3,283194.3,251057.7,274682.9,281710.7,221232.8,279551.2,255283.7,278949.3,266233.8,259688.8,261780.4,235371,259940.9,268328.8,
11,1,302239.3,287524.7,315490,247041.1,300561.1,278442.7,289717.1,198992.4,235318.9,252952.8,250938.2,267265.3,239935.8,265735.4,238649.5,217657,155616.2,
12,1,243495.6,292834.9,298863.9,297083.3,260657.2,277980.6,241944,185910,236769.2,264968.3,266597.4,230768.6,240960,197917.7,234439.8,240069.9,244428.2,
13,1,261991,248845.9,264548,243888.5,268280.4,222111.5,268219.4,208935.6,253182.5,230225.5,231781.2,220591.6,232393.4,165159.1,204324.3,196475.6,190556.8,
14,1,223822.6,286299.2,287301.5,265564.5,231011.5,256584.6,253711.2,163438.3,186237.1,235867.4,199351.3,233847.9,202450.8,166153.4,182403.8,176607.4,169702.3,
15,1,226877.6,267962.6,221786.8,249956.6,260789.5,257570.8,246139.5,178913.4,244093.2,222283.9,183234.9,243030.9,219823.4,184406.8,214525.4,195495.1,196714.7,
16,1,206539.6,218099.7,270901.7,228744.3,222510.2,275148.5,223045.2,227440.7,239751.9,228835.1,224241.1,234174.7,222349.6,164803.1,202976,176866.6,203808.2,
17,1,218270.5,228608.3,248637.9,190789.1,238714.2,235806.8,251038.6,173235.7,260025.8,239414.4,208714.4,148098.7,200456.3,201766.9,229510,193762.6,152670.1,
18,1,284869.9,264195.2,269182.8,302920.3,277172.3,257047.5,275058.7,223896.8,263496,231738,239901.4,233944.5,254913.7,208395.7,225126.2,219344.3,202870,
19,1,332656.8,408978.2,330720,303894.2,328548.1,372724.3,358288.4,305007.7,343845.2,311847.5,281426.2,355586.3,251057.7,210551.1,256373.9,254279.7,287867.3,
20,1,471213.6,532940,499057.3,422817.5,542324.5,460676.6,430191.5,411213.9,419707.1,406541.2,339747,429129.7,364406.7,324685.3,387201.3,466959.2,375295.8,
21,1,580792.6,528147.7,508512.7,489516.3,527883.8,547939.7,533072,435139.3,491708.5,529576.3,449888,441818.3,479325.2,434731.1,420647,450830.4,427479.6,
22,1,548206.9,554218.3,588318.6,590605,665181.8,597466.2,486012.4,525204,602571,586662.5,479391.4,446259.6,599096.1,475180.5,467629.2,421651.8,430236.2,
23,1,696780.8,638435,587223.3,643427.1,667337.7,670072,590689.1,681190.1,604310.1,549888.8,556743.5,573758.6,541541.9,507215.4,551339,475042.5,466512,
24,1,660844.9,620307.1,616650.8,601705.6,656597.6,657443.9,600412.5,633115,591416.6,586750.6,514978.6,529939.9,506036.5,625197.7,636707.1,597284.9,520644.7,
25,1,692456.9,650396.6,555388,587617.6,669269,765544.9,611596.5,623282.9,691671.4,583199.5,542329.7,545476.4,494532.5,620831.1,546417.7,600978.3,552555.1,
26,1,578052.6,648086.6,545435.3,547188,559120.8,623626.5,648555,552390,580088.1,573216.8,545733.7,617281.4,535701.4,451976.7,541121.9,579235.7,537983.6,
27,1,564088.4,533403.1,571285,480359.2,581740.5,496220.2,502171.7,585101.4,521628.6,534877.5,470842.9,480613.6,492231.9,426663.5,512131.6,489839.2,472753.3,
28,1,515967.1,509170.4,483400.6,466161.5,528939.8,502888.5,462113.5,553067,541813,539893.8,447574.5,479461.4,515913.8,424316.6,490079.4,539489,467508.5,
29,1,455997.4,521266.8,480118.3,452842.2,491861.5,499066.4,489557.7,427536.3,424737.3,501564.9,450865.9,469669,358445.4,488185.8,449169,497504.7,467193.3,
30,1,503256.6,563158,427962.7,476154.9,428297.5,449296,426492.6,424923.5,445117.6,435670.1,424288,426970.6,431546.3,415608.6,450306.9,436410.6,455736.1,
31,1,435195.6,471232.7,409963,397318.2,427404.6,370480.6,440624.7,383351.1,326570.5,373224.6,369438.2,364040.2,297308.2,422971,377080.6,356377.5,444906.9,
32,1,454182.8,439276.3,451782.5,340122.8,401092.3,355339.6,416658.6,307517.3,357211.5,412873.6,273533.9,406824.1,413914.2,345388.4,363881.9,345601.1,394984.8,
33,1,367804.2,371432,363921.5,460967.8,394041.3,371475.3,399424.1,292581.5,304582.8,347722.8,356952.8,348102.3,357440,328749.5,323538,357343.5,337989.1,
34,1,358152.2,374784.7,415606.1,398000.1,387722.6,350851.2,302132.9,288104.9,334413.9,296047.6,272583.5,326847.2,340264.6,363802.2,306907.6,255762.2,290032.2,
35,1,323668.6,346849,355989.7,411599.9,347347.6,430480.1,366215.5,277859.3,320920.6,275269.8,279115.1,305677.7,300907.6,247831.9,348886.6,341876.2,306706,
36,1,370797.7,308875.9,320785.8,310171.8,308849.8,358431.7,324427.4,317916.4,291386.1,271844.4,239721.2,297331.2,275111.6,263484.4,252921.8,249633.4,312550,
37,1,338002.7,334810.3,340056.4,270414.3,337236.4,327709.1,300989.5,302706.3,297290.3,243025.5,268516.9,237584.3,298143.9,266645.3,281454.6,262130,187770,
38,1,307123.9,352614.1,375683.1,284779.2,239739.3,349298.3,282709.2,235043.1,288730.9,277420.2,233441,231793,230094.8,206595.2,228850,236412.8,235368.1,
39,1,251071.6,317257.1,311574.8,281252,277241.8,256302.2,262551.4,229192.3,251142.4,268710.9,211031.3,191847.2,246101,218119.6,212293,206836.1,203008.2,
40,1,316842.8,350428.6,337832.8,336883.7,330556.1,321871.6,253592,276989.8,284144.3,267448.3,249136.2,206007.5,264074.6,190719.2,247842.5,220795.3,236964.3,
41,1,275783.1,305323.6,267862.6,258478.1,282223.8,248987.9,307320.3,191890,237885.9,230342.6,225647.8,181576.5,218538.1,188033.9,218987.8,168766.8,252505.8,
42,1,266762.5,312312.8,293059.2,273417.9,276611.8,244035.9,246372.3,194410.5,256200.9,190194.1,206382,227256.2,228809.8,205935.2,211686.5,191051,202156.8,
43,1,214173.1,251199.7,285678.8,263688.1,204597,261188,251656.2,196774.1,223373.1,196914.7,203398.7,183580.5,187471.4,244098.1,193316.4,194402.3,181708.2,
44,1,225021.6,286287.4,192985,239446.5,256527.4,226278.7,189643.8,200492.8,189395.9,191852.7,163264.6,201870,194544.5,148441,192312.6,189450.2,177231,
45,1,225022.5,189213.7,222123.6,210788,246902,239855.2,235062.6,199058.4,203113.8,215098.2,191307.7,174142.1,243373.4,112574.2,198255.5,163531.2,179538.1,
46,1,225868.1,250947.3,208510.1,175891.6,165303.3,221842.7,218670.7,195937.7,240487.9,224192.5,219080.6,165161,166042.9,195872.3,185584.4,194318.2,165162.5,
47,1,179144.6,211450.3,231010.4,158386.9,233307.4,203252.1,217226.4,178188.6,178464.9,175943,181989.1,180762.5,163762.7,133537.8,169237.1,134733.6,151690.7,
48,1,155038.5,170510.1,181263,166466.6,207644,191508.1,190444.8,164420.1,169483,169501.7,208508.9,189404.1,173171.5,216654.4,169513.3,144168.3,185544.1,
49,1,162349.7,181384.2,153895.8,188271.1,207490.7,208040.3,180292.4,156552.8,180920.9,151164.6,149426.2,129485.6,172142.9,133541.3,159834.6,185105,153120.3,
50,1,164935.6,133902.9,144883,179665.4,192830.7,188119.2,174997.1,103270.9,153952.7,214660.4,193302.8,195524.4,222658.7,167530,191349.6,141603.4,126480.4,
51,1,126818.1,127674.4,158550.5,126960.7,141881.8,144311.9,170912.9,157712.8,149208.3,185717.3,149571.1,199797.5,146812.4,130210.1,149841.1,154558.9,175278.1,
52,1,103560.6,155399.6,159972.9,142617.4,136618.7,169148.5,133755.8,109844.6,123059.3,149141.2,125978.6,138694.9,132422,178827.3,125512.6,130285.5,139916.8,
53,1,137032.1,148980.1,163890.3,102112.4,119175.1,128425,146188.1,169440.6,129263,134608.6,116761.3,164972.8,148800.9,153105,160196.3,148197.1,155667.1,
54,1,127511.5,138692.9,105515.4,110026.8,92864.9,121173.7,196082.8,134621.3,146540.3,138941.8,138975.4,147013.6,128613.8,106630.9,153422.3,139763.1,133981.6,
55,1,86622.4,103203.9,131557.9,116917.5,99362.9,135883.3,126701.6,124936.4,169976.2,91215.9,100392.6,143365.2,113729.3,156522.7,142857.1,151097.9,117080.5,
56,1,84872.7,103885.7,115302.1,124565.7,135430.5,105461.9,124037.9,84800.5,138041,104035.4,112817.3,133149.4,148737.4,102060.3,123874,108094,135959,
57,1,101486.5,92975.5,71838.9,70925.7,98421.5,84204.6,97602.1,119795.8,84335.8,115997.7,110708.4,113270.5,101602.2,125633.1,112674.2,124334.9,155604.9,
58,1,88029.7,103619.3,115201.8,91806,85859.3,103842.7,96279,98617.2,86547.5,94668,110873.9,104068.7,83728.4,145164.6,141546.9,142633.8,135270.3,
59,1,61653.8,84590.3,83667.1,91718.4,70548.8,119166.2,102219.5,68298.8,92093.8,86972.7,94154.3,91631.7,93266.8,79456.7,121123.3,111997,142287.5,
60,1,84540.6,69958.6,88363.2,68008.9,69517.1,70321.2,103119,106356,91425.9,123610.8,92643.6,86846.7,87854.4,89936.6,111127.9,127069.3,100597.5,
61,1,110078.7,69784.8,51523,83599.6,67817.6,67602.2,75282.4,49354.3,94208.9,71997.7,90749.4,74197,89832.5,96731.8,130006.5,98822.2,83703.5,
62,1,47187.4,99939,60599.1,48508.8,78029,62966.7,69481.5,80628,61014.6,80766.2,64488.6,82727.4,95712.4,88317,89714.4,88436.6,91377.5,
63,1,63291.7,67311.6,54304.6,72140.5,56690.2,69071.6,51157.4,42039.5,64061.7,99554.8,82687.6,103719.3,75534.1,121399.3,104128.1,104072.7,78618.9,
64,1,36127,63436.5,62796.2,45296.9,65737.5,37850.8,74467.6,57352.3,40006.7,62526.6,48411.8,72843.4,71137.9,85032.4,99461.3,93102.2,94628.7,
65,1,51494.2,42573.5,59025.5,64679.5,57815.9,55570.5,60946.1,94762.3,55790.9,73633.4,30284.4,50715.3,66904.6,28853,85583,67951.2,70419,
66,1,33335.3,38209.3,34375.8,45290.3,38209.7,47716,52077.5,40750.8,34149.4,54879.7,64736.9,41603.9,72935.4,36089.5,83747.7,52567.2,72614.7,
67,1,44765.9,48933.2,25760.2,28573.3,53962.4,26211.2,41632.9,40347.6,45072.6,57829.4,33756.6,48104.4,65453,95061,83246.3,37653.4,36015.8,
68,1,33411.4,31142.7,28574.6,26160.1,44937.5,40807.2,48882.9,28251.9,35613.4,60540.4,27472.6,34462,37624.8,46154.7,39319.5,49096.4,58257.6,
69,1,41473.8,46149.8,38105.2,27750,48343.7,59480.9,29386.4,42083.6,22288.2,39977.1,40755.7,41054.5,43478.9,23647,51686.3,41150,77830.4,
70,1,24563.2,29830.3,35457.2,39398.7,38025.9,55264.5,33156.9,27735,15424,48225.6,31162.3,58175,28747.9,25583.9,35142.6,28458.5,47191.4,
71,1,23478.5,28621.8,30713.7,30880.4,42365.7,27375.1,22553.8,25903.2,34118.7,14860.8,21832.4,51332.7,24470.3,40479.1,49177.9,16768.4,40318.6,
72,1,18221.5,42531.6,33309.6,28468,27178.9,26579.6,25371.4,22682.8,19542.2,26074.2,14307.8,15304.1,28244.9,25486.3,26359.3,37941.8,35210.2,
73,1,22341.1,34636,22273.6,46837.4,31843,22457.2,19451.1,21511.2,15524.6,34828.7,20954,28199.1,35306.4,29802.4,41333.4,27722.7,34061.8,
74,1,36699.7,25187.5,28489.9,16931,20084.4,20611.6,26405.8,14742.1,11445.9,32814.4,20329.3,26669.6,23357.7,39458.1,54227.4,14538,34706.9,
75,1,30521.5,28097.2,20599.5,19560.4,23057.5,14711.7,21268.3,15646.5,19212.8,13027.8,20643.3,13572,24617,5445.5,19085,19988.3,22802.7,
76,1,18479.5,19404.6,33788.7,42505.7,16754.1,18270.7,13584.7,31850.9,28032.3,21952.7,19004,29934,22849.9,10296.9,12450.2,25509.6,31647.5,
77,1,21198.6,19250.8,15413.9,33350.7,33949,23237.1,23587.3,30956.4,30101.9,8972,15885.6,21544.5,21062,18183.3,22682.4,24757.9,18617.8,
78,1,7119.9,13064.8,22984.9,32705.4,21066.3,15678.6,27695.3,18406.9,18369.3,17988.6,14533.5,6136.9,10355.1,27826.9,10991.7,23533.5,18863.5,
79,1,13565.7,13781.5,16491.4,16970.5,31477.5,32134.5,17025.6,10926.3,9883,17672.9,13862.3,17724.9,13125.2,37530.1,11166.6,20361.3,15538.5,
80,1,9926.3,71267.2,114948.8,79151.9,66015.6,67996.9,88677.3,105814.6,44302.8,57426.9,63382.7,69842.5,73600.4,79914.4,97374.8,63630.8,83882.5,
81,1,13691.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
82,1,5854.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
83,1,4957.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84,1,2223.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
85,Inf,37169.3,0,0,48890.7,40580.3,52364.1,55770.7,60275.3,70245.4,64318.5,63216,44259.8,64295.7,35126,70254.8,70842.3,91217.4,
