x,n,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US CPS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
0,1,,,,,,0,0,0,0,,,,,0,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,37360.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,,,,,,1255534.9,1156148.4,1168145.2,1183503.3,,,,,888643.8,,,,,1027729.3,1033334.9,1046603.1,1010999,,1082951.6,1141701.4,1069902.1,975899.8,1034046.9,1053812.1,978563,1020853,1065592.7,,1147705.2,1018439.4,1011045.5,1031306.6,994205.5,911697.5,959335.1,857042.5,922343.6,990293.7,954174.9,950691.1,818060.9,894885.2,896009.1,805733.8,920054.7,739120.4,799483.7,771979.1,863771.1,689958.4,
2,1,,,,,,1136062.7,1023535,1059473.2,999176.1,,,,,902048.2,,,,,890831.1,904202.2,959166.7,1007943.7,,995392.8,997365.2,892927.6,949624.3,889179.5,860482,951548.9,958275.7,900238.4,,1077915.7,979117,936861.6,926392.8,911683.7,875105.7,819641.5,930352.7,888533.6,906833.8,849096.1,730328.6,772088,821411,825014.6,744409.4,735619,698729.2,802484.5,662997.4,708657.5,608502.9,
3,1,,,,,,1093873.2,995376.5,967784.9,1015555.8,,,,,834915.6,,,,,831465.6,788306.6,798274.3,844458.4,,990627.4,963320.6,820168.3,872853.5,859443.6,792681.2,774394,850568.5,854296.5,,976775,893728.4,899937,957170,858980.2,830566.1,777447.7,864551.2,808790.7,852372.2,801457.1,838009.3,681762.3,776599.3,828084.6,742249.8,693988,670707,640114.8,758974.2,681814.1,579049.7,
4,1,,,,,,1019758.8,941139.7,946279,846944.7,,,,,835083.1,,,,,722206.6,753879.3,732311.1,800348.5,,891645.1,853596.8,775742.4,780108.4,770626,766372.4,766989.8,749903.3,801046.4,,860323.1,870411.9,862123.6,837423.7,899744.1,723861.2,746752.7,860626.7,768985.4,732318.2,820832.6,698154.4,635953.3,740915.9,671186.2,659228.8,739909.1,630360.2,683233.4,679219.6,599970.4,603458,
5,1,,,,,,988664.4,918749.3,898677.3,790036.5,,,,,814016.4,,,,,694498.9,667336.2,669836.8,708502.3,,866355.2,815755,733237.1,764711.8,790919.9,707241.1,737310.7,737765.3,752333.9,,919066.2,913697.8,948095,891838.8,814152.7,733122.4,728615.8,666525.6,749806.4,644140.1,678989.9,800309.3,585719.7,622336.5,583478,660993,677366.6,618255.3,487658,647369.4,495421.5,621959.8,
6,1,,,,,,912253.2,910831.8,864214.6,773541.7,,,,,678585.6,,,,,656703.5,642451.3,611714,642580.7,,739994.3,749577.5,717975,718902.9,727534.6,670971.9,717465.2,700326.9,737148.2,,748831.4,820093.6,710939.1,776166.8,773882.3,687853,695640.5,650778,620724.8,698167.9,634787.2,672020.6,533855.1,574656.6,637468.3,566727.2,628227.1,617017.8,636026.1,636292,596173.3,561058.7,
7,1,,,,,,798562.6,839608.4,801109.6,751361.5,,,,,636618.2,,,,,608821.7,587906.4,610748.1,631396.5,,725497.2,723006.1,696826.6,682145.9,715500.3,671288.5,687315.1,622653.8,654433.7,,724042.1,789783,693926.4,706623.1,760803.8,678755.2,697393.3,606963.2,555506.2,618830.7,623227.8,577561.3,530464.4,591660.1,625864.6,565381.5,567958,555832.8,460586.8,539116.4,534333.8,500998.5,
8,1,,,,,,747834.6,754522.8,741822.9,700943.5,,,,,581939.3,,,,,623063,547958,547175,583681.3,,596966.5,633639.5,652115.4,618575.4,628183.2,679842.6,628339.4,533165.9,542117.5,,674282.7,658291.7,688133.4,809299.4,647780.2,632844.4,644736.2,594398.4,648499.5,578727.5,595664.9,551310.5,490734.3,558311.6,569894.8,585819.2,490608.2,535105.8,530830.7,500373.2,526326.8,506160.5,
9,1,,,,,,741464.6,680895.4,695864.4,653015.8,,,,,603943.4,,,,,543996.6,534789.4,542652.8,588307.3,,608833.7,623965.1,602508.1,567112.5,618172.4,526867.4,577109.3,600194.2,670439.5,,662387.7,689169.7,615695,691936.3,696752.1,661122.2,579648.1,605070.4,549238.5,601347.7,566509.9,559828.2,510462.4,517018.9,513807.2,492897.6,519956.9,503579.9,466253.4,503017,512688,414510.7,
10,1,,,,,,721821.5,699242.5,650263.8,670646,,,,,583828.9,,,,,534062.8,544013.6,545995.7,515256.9,,574976.6,597064,581351.5,569822.6,600494.8,598540.9,605305.6,583626.4,536449.5,,695351.3,650539.2,578259.1,582232.8,599874.2,635573.4,652609.5,598397.1,499274.3,507766.1,528339.8,497792.3,479993.9,495109.2,492262.1,553985.1,525125.5,491329.2,508840.6,463929.7,472783.6,504835.7,
11,1,,,,,,616909.8,620658.2,578957.6,607077.5,,,,,555468.8,,,,,513484.6,545304.4,515369.4,508793.2,,514995.7,582667.5,529109.2,481020.3,493546.5,522689.1,563579.7,521955.5,557265.8,,584278.2,628664.9,582480,592699.5,582118.4,546082.4,603494.5,582370.3,549550.4,555836,518471.3,541133.7,396106.2,456330.7,478559.1,438976.8,481919.7,487496.5,464539,430493.3,446889,361959.3,
12,1,,,,,,631035.7,559115.1,569458.7,561869.3,,,,,529824.2,,,,,491819.2,526764.1,504492.2,470073.7,,502996,541381.5,473267.8,497326.3,531531.8,440886.2,592674.1,527703.5,451416,,521012,580405.8,616280.4,531312.8,588843.7,504208.6,548582.4,571378.2,583931.7,567813.8,513993.3,480986.2,388607.9,431357.1,508068.4,479622.2,452481.4,503474.8,391949.2,429578.6,435213.2,423943.8,
13,1,,,,,,542609,559091.1,583203.6,562374.4,,,,,510337.9,,,,,451831.3,419402.6,434670.4,530012.2,,531017.1,486517.1,481228,476007.6,460201.4,476015.2,493132.7,452654.3,546169,,564179.4,552897.6,524419.6,532965.8,549341.1,526019.8,511394.2,518677.3,522817.5,531900,488654.8,513825.7,413565.2,474778,415765.6,440418.5,454495.7,425618.3,296849.7,373994.7,378557.1,367134.2,
14,1,760323.1,177565.5,524765,162178.3,472476.2,542038.6,526828,589260.8,501297.5,,,,,441343.4,,,,,432904.7,362028.2,420854.2,445537.2,,546260.9,523095,525773.9,572141.4,472880.7,444966.7,525118.3,469570.8,447048,,478165.4,588419,589812,482831.4,520500.1,475322.8,572820.6,530423.6,512718.7,460221.1,495589.7,482992.9,375154.4,405941.3,454094.1,428800.2,469654.4,400852.7,380154.5,422695.3,372366.1,350361.4,
15,1,511119.8,147811.6,473400.9,181115.4,520404,537178.3,497281.3,509431.6,504403,,,,,459414.8,,,,,413510.7,397150.7,402131.1,440135,,587530.2,563469.3,493660.6,509205.7,513296.3,434443.9,500971.6,448509.7,593108.8,,454662.9,580643.4,547980,518714,543461.7,445163.1,525586.8,474463.7,464066.8,447336.5,516487.9,494161,396570.1,430670.3,437981,363606.6,477430.2,450119.9,372027.1,400554.8,393419.4,345350.4,
16,1,584179.5,138815.1,473387.4,178673.3,426447.5,522766,498245.8,502633,481272.2,,,,,504918.8,,,,,495893.6,399951,363372.1,424580.8,,473410.2,508352.5,499497.1,500738.9,499837.6,489308.5,434487.2,477506.2,458554.4,,516903.7,514541,486684.9,546425.1,521985.4,438888.1,420433.6,532043.6,522099.2,504768.1,529962.5,481828.1,431709.6,505758.7,473485.5,453357.3,444066.2,446362.8,307155.8,393084.2,381689.7,441594.9,
