x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US CPS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
0,1,0,37360.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,911697.5,959335.1,857042.5,922343.6,990293.7,954174.9,950691.1,818060.9,894885.2,896009.1,805733.8,920054.7,739120.4,799483.7,771979.1,863771.1,689958.4,
2,1,875105.7,819641.5,930352.7,888533.6,906833.8,849096.1,730328.6,772088,821411,825014.6,744409.4,735619,698729.2,802484.5,662997.4,708657.5,608502.9,
3,1,830566.1,777447.7,864551.2,808790.7,852372.2,801457.1,838009.3,681762.3,776599.3,828084.6,742249.8,693988,670707,640114.8,758974.2,681814.1,579049.7,
4,1,723861.2,746752.7,860626.7,768985.4,732318.2,820832.6,698154.4,635953.3,740915.9,671186.2,659228.8,739909.1,630360.2,683233.4,679219.6,599970.4,603458,
5,1,733122.4,728615.8,666525.6,749806.4,644140.1,678989.9,800309.3,585719.7,622336.5,583478,660993,677366.6,618255.3,487658,647369.4,495421.5,621959.8,
6,1,687853,695640.5,650778,620724.8,698167.9,634787.2,672020.6,533855.1,574656.6,637468.3,566727.2,628227.1,617017.8,636026.1,636292,596173.3,561058.7,
7,1,678755.2,697393.3,606963.2,555506.2,618830.7,623227.8,577561.3,530464.4,591660.1,625864.6,565381.5,567958,555832.8,460586.8,539116.4,534333.8,500998.5,
8,1,632844.4,644736.2,594398.4,648499.5,578727.5,595664.9,551310.5,490734.3,558311.6,569894.8,585819.2,490608.2,535105.8,530830.7,500373.2,526326.8,506160.5,
9,1,661122.2,579648.1,605070.4,549238.5,601347.7,566509.9,559828.2,510462.4,517018.9,513807.2,492897.6,519956.9,503579.9,466253.4,503017,512688,414510.7,
10,1,635573.4,652609.5,598397.1,499274.3,507766.1,528339.8,497792.3,479993.9,495109.2,492262.1,553985.1,525125.5,491329.2,508840.6,463929.7,472783.6,504835.7,
11,1,546082.4,603494.5,582370.3,549550.4,555836,518471.3,541133.7,396106.2,456330.7,478559.1,438976.8,481919.7,487496.5,464539,430493.3,446889,361959.3,
12,1,504208.6,548582.4,571378.2,583931.7,567813.8,513993.3,480986.2,388607.9,431357.1,508068.4,479622.2,452481.4,503474.8,391949.2,429578.6,435213.2,423943.8,
13,1,526019.8,511394.2,518677.3,522817.5,531900,488654.8,513825.7,413565.2,474778,415765.6,440418.5,454495.7,425618.3,296849.7,373994.7,378557.1,367134.2,
14,1,475322.8,572820.6,530423.6,512718.7,460221.1,495589.7,482992.9,375154.4,405941.3,454094.1,428800.2,469654.4,400852.7,380154.5,422695.3,372366.1,350361.4,
15,1,445163.1,525586.8,474463.7,464066.8,447336.5,516487.9,494161,396570.1,430670.3,437981,363606.6,477430.2,450119.9,372027.1,400554.8,393419.4,345350.4,
16,1,438888.1,420433.6,532043.6,522099.2,504768.1,529962.5,481828.1,431709.6,505758.7,473485.5,453357.3,444066.2,446362.8,307155.8,393084.2,381689.7,441594.9,
17,1,474681.8,493098.4,495555.3,442673.5,423899.8,484162.6,489552.4,366906.6,466131.2,467107.8,429648,389103.7,419629.5,393545.6,449211.8,357073.8,359781.5,
