x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US CPS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
0,1,1917804,1908681.1,1657040.2,1724836.1,1959749.5,1992789.5,1974947.6,2058812.4,2098531.3,1906885.5,1883403.9,1913558.6,1881913.1,1872873.5,1918592.5,1867545.1,1844075.4,
1,1,1883518.5,2017985.2,1845203.6,1831180.2,2031155.7,2024450,2068580.7,2107641.7,2122426.7,1972585.5,2003977.2,2000411.5,1977707.2,1983568.6,1949777.5,2026658.1,2043738.7,
2,1,1889049.7,1834229.9,2184362.1,1965630,1946751.1,1976448.5,1967603.6,2014619.2,2076460.8,1982748.9,1959821.3,1920081.3,1930287.8,1937824.8,1949087.4,1951917.6,1997508,
3,1,1860215.1,1903959.1,1954088.9,2163444.2,1956436.8,1974148.5,2021217.2,1968254,2069989.7,2033508,2056509.6,1999002,1953511.7,1887005.6,1992425.5,1962158.2,1948140.2,
4,1,1893086,1857746.9,2032615,2061884.4,2008446.9,1981209.3,1996217.5,2058145.8,1977725.7,1978287.4,1969326.1,2004118,1997153.9,2029669.6,1921366.2,1928549.2,1918628,
5,1,1900680.2,1891337.6,1930144.9,1951492.2,1897556.7,1959457.8,1986265.5,1968937.7,2000524.5,1940537,2031660.3,2037419.6,2016275.6,1956337.6,1905680.1,1913242,1919211.7,
6,1,1915683.5,1946125.3,1880086.8,1951724.5,1909809.4,1889146,2005422.3,1937631.9,1979158.6,1987432.3,1917575,2006588.9,2042122.5,2018904.8,2005030.8,1990162.5,2021990.9,
7,1,1963066.6,1929711.9,1950547,1912566.1,1868046.7,1932791,1877169.7,2054637.8,2011070.1,2016765.3,2023138.2,1964530.9,1984629.6,2055275.9,2062647,2034859.7,1977211.6,
8,1,2042172,1956371.9,1845095.1,1880373.8,1901708,1887259.3,1960734.5,1897903.6,2002565.7,1961053.6,2010272.1,1995494.2,1974566.7,2004909.3,2027273.7,2055053,2036661.2,
9,1,2059419.1,2019953.7,2016548.8,1877270.3,1971626,1923376.6,1863301.2,1925738.3,1900339.8,2044863.6,1955374.3,1985025.9,2028710.2,2003432.8,2019213.6,2026594.1,2005749.1,
10,1,2095000.8,2051822.5,2043777.6,1947535.8,1973468.6,2013213.4,1973086.2,1958143.7,1896909.6,2097127,2084791.2,1987254.1,2014783.9,2038914.5,2077431.9,2064647.2,1992027.4,
11,1,2072089.5,2063622.8,2032580,2090671.9,2004878.4,1930588.4,1927943,1875726.5,1937041.9,1948734.1,1984786.9,2045593.8,1970136.3,1961078.6,1949224.3,1974725.8,2080786.7,
12,1,1969549.7,2109688.3,2126609.6,2128624.2,2067362.9,1970614,2013569.3,1943660.9,1949478.2,1999253.3,2017121.5,2010516,2032691.9,1999928.6,1982850.7,2041825.9,2015872.3,
13,1,2027421.3,2007351,2116978.3,2109838,2056833.4,2089543.9,1989827.6,2020958.6,1957989.2,2012661.9,2002662.6,2042798,2054178.2,2052439.5,2026572.2,1989847.4,2035149.8,
14,1,1958983.5,2031349,2005531.1,2128619.7,2112971.4,2070916,2065865.9,1989641.7,1984266.4,2026306.5,2025642,1989534.4,2010201.2,2017978.6,2076519.5,2023366.5,2005071.2,
15,1,1967499.7,1960374.9,2032301.3,1960375.9,2111325.6,2128269.2,2081436,2086755.6,2021135.5,2062666.6,2019312,2034708.2,2025350.1,2053112.6,2034459.7,2058171.4,2024640.9,
16,1,1924779.2,1972600,2115289,2245243,2159834,2262979.5,2280276.9,2215072.9,2317390.7,2175931.3,2219586.9,2198492,2174967,2024177.6,2129001.1,2279098.8,2163503.9,
17,1,1953885.1,1994810,2098126.4,2168628.4,2062040.7,2135841.1,2201884.2,2326756.7,2138425.4,2337488.7,2148146.6,2077400,2229682.1,2188063.4,2129295.6,2135995.2,2248144.2,
18,1,1934886.9,1939574.7,1933648.3,1892906.8,2001922.2,1921171.7,1958037,2073041.9,2024477,2149593.9,2216839.4,2107499.3,1949647.9,1981622.8,2122148.3,1990113,2050498,
