x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US CPS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
0,1,1988451.7,2006668.6,1720262.6,1814675,2058102.2,2060159.1,2099701.1,2195405.4,2202406.6,1955374.3,2030279.7,1989551.9,1991141,1899383.1,1953908.8,2009229.4,1978199.9,
1,1,1984318.3,2101501.7,2014475.2,2086461.4,2120079,2148229.8,2135543,2172237.6,2222972.5,2092238,2030306.4,2104554.5,2047752.9,2139169.9,2088140.3,2068576.6,2091089.2,
2,1,1974512.5,1957268.8,2121279.3,2027935.4,2048636.5,2065513.7,2046572.7,2102910.4,2129630.5,2068484.2,2013753.9,2010662.4,2043449.5,1930199.9,1992067.3,2020185.4,2052181.5,
3,1,1953395.4,1952237.5,2162165.6,2150817,2059982,2046716.9,2160302.3,2107898.6,2123308.6,2093488.9,2102912.6,2015383.4,2055889.9,2007395.8,2063750.4,2017580.7,2035571.3,
4,1,1992486.8,1909424.6,2094288,2104828.3,2072941.7,2093484.6,2059419.3,2116188,2163454.6,2102801.6,2131713.9,2152443.8,2038260.5,2178068.4,2071947.3,2070357.1,2044393.1,
5,1,1991901.3,2062170,1942405.9,1950402,1967599.4,2077202.6,2041189.2,2072845.2,2085423.1,2051661.5,2130552.6,2151809.1,2119642.1,2148567.5,2088108.1,1995424,2025303.2,
6,1,2038022.9,2000921.9,1999022,1950179.2,2001117.8,1976903.8,2064106.8,2048844.6,2065761,2078276.1,2051169.7,2076488.9,2156647.7,2053238.2,2049760,2049549.6,2077106.5,
7,1,2053864.7,2056794.5,2038700.8,1998808.3,1971725.5,1994287.2,2033304.6,2110931.3,2114843.4,2069276.8,2053613,2050606,2038391.4,2092038.3,2088542.3,2148547.7,2076512.6,
8,1,2069385.6,2042278.9,2018889.1,2099893.9,1984313.8,1993380.3,2002566.8,1994267.7,2044059.9,2081474.8,2071861.6,2103489.1,2112683.5,2116028.1,2107441.2,2132097.8,2065959.6,
9,1,2179718.6,2087893.9,2086686.3,2073599.8,2072449.3,1992611.9,1996165.3,2006664.2,2041236.9,2100392.4,2061516.6,2044744.3,2062477.7,2072979.8,2118944.2,2123734.1,2143166.5,
10,1,2268391.6,2177851.1,2165649.6,2002217.2,2038801.6,2115103.3,2030612.6,1957908.8,2062283.5,2044468.8,2113319.5,2098638.9,2035150.2,2218529.4,2041594.8,2141130.2,2201817.5,
11,1,2133172.1,2177111.7,2184178,2136270.6,2135556.5,2022825.7,2054271.6,2051680.3,1945965.7,2189633,2145304.4,2110600,2118082.8,1950027.6,2151332.5,2070624.7,2046441,
12,1,2106856.9,2152280,2212641.8,2193132.2,2173007.8,2107078.9,2113601.5,2091430.9,2061842.2,2061660.5,2103458.2,2147272.4,2123216.3,2165233,2068237.5,2125599,2142226.3,
13,1,2085149.5,2134864.1,2180465.5,2180556,2147169.3,2150910.8,2084006.9,2064702.3,2025979.1,2132708.8,2099275.2,2094978.1,2153925.8,2063451,2101546.9,2063841.4,2069481,
14,1,2058300.5,2141792.5,2121299.2,2200998,2211393.2,2180265.6,2191237,2083839.9,2085321.3,2141113.5,2115327.3,2077627.6,2127709.9,2144596.5,2131158.7,2077271,2077663.6,
15,1,2066710.9,2054280.2,2076610.9,2202264.6,2209178.6,2203526.4,2138157.6,2175772.7,2098484.6,2150393.2,2116962,2123727.3,2085467.2,2126090.8,2152164.6,2164922.3,2102060.2,
16,1,2008720,2089740.9,2136429.3,2216298.5,2247485.1,2482024.9,2274295.7,2334971.7,2363417.8,2265415.2,2294571.7,2371906.8,2206225.2,2188522.5,2212267.8,2236229.3,2345633,
17,1,2066786,2064777.7,2169464,2091164.1,2271526.7,2131648.9,2321017.4,2305200.7,2231838.9,2389940.7,2316751.4,2170848.9,2372152.7,2207661,2282549.8,2222636.8,2194094,
18,1,2072206.5,1992031.7,2030809.2,2133647.2,1972624,2003584.7,2147058.8,2175554.5,2148671.6,2287753.7,2278840.6,2168529.7,2039808.5,2165448.3,2076541.9,2129823.2,2052747.8,
19,1,1952356,2033766.9,1830350.6,1793918.8,1802103.1,1797582.9,1866384,1832479.2,1939215.4,2023272.8,1958341.6,2004558.2,1968065.8,1943061.3,1885745.5,1876674.1,1913788.7,
20,1,2029576.9,2161824.9,2218975.7,2141521.9,2136136.9,2052801,2098267.6,2098249.3,2144769.1,2161717.6,2191377.6,2362210.5,2112727.1,2233050.2,2243169.6,2361939.5,2164500.8,
21,1,1872941.2,1964317.2,1954372.9,2140766.5,2003244,2195388.9,2163567.8,1995446.3,2051443.8,2200649.4,2188946.7,2279792.3,2329117.4,2173614.9,2225781.1,2238703.8,2098594.3,
22,1,1885070.9,1735357.3,2025574.3,2077821.4,2093141.7,1976207.8,2018494.1,2145276,2075252.2,2148464.4,2107129.3,2079050.3,2310389.5,2161375.9,2286605.8,2069275.7,2225172.9,
23,1,1812353,1915281.2,1816208.9,2015622.3,2024842.3,2032188.4,2030821.3,2206819.2,2031293.1,2003587.4,2234096.5,2211755.5,2180133.9,2290127,2109050.5,2150314.2,2156649.7,
