x,n,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US CPS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
0,1,,,,,,3498992,3499359.6,3578877,3692320.2,,,,,3071056.1,,,,,3600603.2,3655450,3713144.1,3620239,,3751447.4,3699573.1,3755808.5,3892408.4,3983791.6,4001909.1,4054474.8,4031230.1,3979036.3,,3908613.7,3816300.3,3884862.5,3809449.8,3867892.5,3906255.7,3915349.7,3377302.8,3539511.1,4017851.7,4052948.6,4074648.7,4254217.8,4300938,3862259.7,3913683.7,3903110.5,3873054.1,3772256.6,3872501.4,3876774.5,3822275.3,
1,1,,,,,,3575389.2,3468277,3467928,3559442,,,,,3044877.9,,,,,3452318.8,3560189.3,3626195.1,3655581.5,,3585148.6,3609336.4,3698205.8,3750720,3800226.4,3978695.3,3904865.1,3987539,4146735.6,,4023244.2,3957290.7,3936181.8,3912110.4,3960549.3,3867836.8,4119486.9,3859678.9,3917641.6,4151234.7,4172679.8,4204123.7,4279879.3,4345399.1,4064823.5,4034283.6,4104966,4025460.1,4122738.5,4037917.8,4095234.7,4134827.9,
2,1,,,,,,3719653,3577747.3,3457321.6,3477100.3,,,,,2966312.7,,,,,3305191.6,3453966.3,3582465.4,3627824,,3534518.6,3580172.3,3626598.7,3666381.1,3676184.1,3820367.6,3924783.2,3941151.7,4079663,,4004819.2,3957842.9,3833784.8,3881941.2,3884136.6,3863562.2,3791498.7,4305641.4,3993565.4,3995387.6,4041962.2,4014176.3,4117529.6,4206091.3,4051233.2,3973575.2,3930743.7,3973737.3,3868024.7,3941154.7,3972103,4049689.5,
3,1,,,,,,3919785.3,3725793.3,3570802.5,3472369,,,,,3100816.6,,,,,3224462.6,3309404.1,3495208.6,3584605.3,,3618012.6,3579858,3612329.4,3681310.8,3738188.5,3738088.9,3874616.3,3972560.2,4156643.3,,4017455.8,3979552.3,4027939.7,3979728.4,3877864.8,3813610.5,3856196.6,4116254.5,4314261.2,4016418.8,4020865.3,4181519.5,4076152.6,4193298.4,4126996.9,4159422.2,4014385.4,4009401.6,3894401.5,4056175.9,3979738.9,3983711.5,
4,1,,,,,,4062944.9,3926836.2,3718049,3563410.6,,,,,3371155.4,,,,,3182207,3229011.3,3315602.4,3502763.9,,3632786.2,3660668.9,3594098.2,3633060.6,3733373,3760057.1,3807011.3,3901215.7,4095929.9,,4114920.4,4070327.5,4003610.2,4017851.8,4016998.8,3885572.8,3767171.5,4126903,4166712.6,4081388.6,4074693.9,4055636.7,4174333.8,4141180.3,4081089,4101040,4156561.8,4035414.4,4207738,3993313.5,3998906.4,3963021.1,
5,1,,,,,,4132725.6,4070000.9,3927315.2,3711931.3,,,,,3540840.1,,,,,3159474.5,3188202.6,3234016.1,3325234.8,,3579747.5,3634693.5,3676906.1,3679545.9,3693268.4,3741360.9,3758370.3,3802220.8,3990391.8,,4296796,4144051.2,4161346.9,4063823,3972509.8,3892581.5,3953507.6,3872550.7,3901894.2,3865156.2,4036660.4,4027454.7,4041783,4085947.6,3992198.5,4162212.9,4189228.7,4135917.7,4104905.2,3993788.2,3908666,3944514.9,
6,1,,,,,,4214523.7,4139035.5,4069960.6,3922719.3,,,,,3481081.5,,,,,3151318.6,3164749.2,3209584,3243575.3,,3508863.6,3587262.1,3661534.5,3725808.3,3645534.7,3758753.1,3788364.2,3769568.9,3894083.1,,4125325.5,4193400.7,4101498.1,4036115.1,4023251.1,3953706.4,3947047.1,3879108.8,3901903.7,3910927.2,3866049.8,4069529.1,3986476.5,4044919.6,4065708.4,3968744.7,4083077.8,4198770.2,4072143.1,4054790.9,4039712.2,4099097.4,
7,1,,,,,,4232979.9,4220994.2,4139952.9,4067451.9,,,,,3420462,,,,,3164171,3157392.6,3159771.7,3219332.2,,3455301.3,3578203.8,3619988.7,3651373.4,3734487.8,3675221.2,3765300.9,3807017.2,3884210,,3975565.7,4102035.8,4155073.1,4187730.3,4059368.9,4016931.3,3986506.4,3989247.8,3911374.5,3839772.2,3927078.2,3910474.3,4165569,4125913.5,4086042.1,4076751.2,4015136.9,4023021,4147314.2,4151189.3,4183407.4,4053724.2,
8,1,,,,,,4144603.8,4239365.1,4222677.1,4133615.5,,,,,3374651.4,,,,,3281005.6,3170149.2,3176659.5,3169247.4,,3269453.8,3349038.8,3501951.7,3537746.5,3584276.2,3617722.8,3564629.3,3647070.8,3689435.2,,3817348,3861969.4,3962251.2,4082778.8,3984308.8,4111557.6,3998650.8,3863984.2,3980267.7,3886021.8,3880639.6,3963301.4,3892171.3,4046625.6,4042528.4,4082133.7,4098983.2,4087250.2,4120937.4,4134714.9,4187150.9,4102620.7,
9,1,,,,,,4140627.1,4150520,4241576.9,4223056.9,,,,,3502337.1,,,,,3469915.3,3287129.4,3171465.2,3186114.5,,3299206.3,3368530.1,3444695.4,3603126.3,3641985.2,3672748.3,3727237.3,3700735.2,3910025.4,,3956081.2,3969953.8,4073198.5,4186330.7,4339417.6,4239137.7,4107847.6,4103235,3950870.2,4044075.3,3915988.5,3859466.5,3932402.5,3941576.7,4145256.1,4016890.9,4029770.2,4091187.9,4076412.6,4138157.8,4150328.3,4148915.7,
