x,n,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"US CPS data, from IPUMS-USA, University of Minnesota, www.ipums.org."
0,1,3906255.7,3915349.7,3377302.8,3539511.1,4017851.7,4052948.6,4074648.7,4254217.8,4300938,3862259.7,3913683.7,3903110.5,3873054.1,3772256.6,3872501.4,3876774.5,3822275.3,
1,1,3867836.8,4119486.9,3859678.9,3917641.6,4151234.7,4172679.8,4204123.7,4279879.3,4345399.1,4064823.5,4034283.6,4104966,4025460.1,4122738.5,4037917.8,4095234.7,4134827.9,
2,1,3863562.2,3791498.7,4305641.4,3993565.4,3995387.6,4041962.2,4014176.3,4117529.6,4206091.3,4051233.2,3973575.2,3930743.7,3973737.3,3868024.7,3941154.7,3972103,4049689.5,
3,1,3813610.5,3856196.6,4116254.5,4314261.2,4016418.8,4020865.3,4181519.5,4076152.6,4193298.4,4126996.9,4159422.2,4014385.4,4009401.6,3894401.5,4056175.9,3979738.9,3983711.5,
4,1,3885572.8,3767171.5,4126903,4166712.6,4081388.6,4074693.9,4055636.7,4174333.8,4141180.3,4081089,4101040,4156561.8,4035414.4,4207738,3993313.5,3998906.4,3963021.1,
5,1,3892581.5,3953507.6,3872550.7,3901894.2,3865156.2,4036660.4,4027454.7,4041783,4085947.6,3992198.5,4162212.9,4189228.7,4135917.7,4104905.2,3993788.2,3908666,3944514.9,
6,1,3953706.4,3947047.1,3879108.8,3901903.7,3910927.2,3866049.8,4069529.1,3986476.5,4044919.6,4065708.4,3968744.7,4083077.8,4198770.2,4072143.1,4054790.9,4039712.2,4099097.4,
7,1,4016931.3,3986506.4,3989247.8,3911374.5,3839772.2,3927078.2,3910474.3,4165569,4125913.5,4086042.1,4076751.2,4015136.9,4023021,4147314.2,4151189.3,4183407.4,4053724.2,
8,1,4111557.6,3998650.8,3863984.2,3980267.7,3886021.8,3880639.6,3963301.4,3892171.3,4046625.6,4042528.4,4082133.7,4098983.2,4087250.2,4120937.4,4134714.9,4187150.9,4102620.7,
9,1,4239137.7,4107847.6,4103235,3950870.2,4044075.3,3915988.5,3859466.5,3932402.5,3941576.7,4145256.1,4016890.9,4029770.2,4091187.9,4076412.6,4138157.8,4150328.3,4148915.7,
10,1,4363392.4,4229673.5,4209427.2,3949753,4012270.2,4128316.7,4003698.7,3916052.6,3959193.1,4141595.9,4198110.6,4085893,4049934.1,4257443.9,4119026.7,4205777.4,4193844.9,
11,1,4205261.5,4240734.5,4216758,4226942.5,4140434.9,3953414.1,3982214.6,3927406.8,3883007.6,4138367.2,4130091.4,4156193.8,4088219.1,3911106.2,4100556.8,4045350.4,4127227.6,
12,1,4076406.6,4261968.3,4339251.5,4321756.4,4240370.6,4077693,4127170.8,4035091.8,4011320.4,4060913.8,4120579.7,4157788.4,4155908.2,4165161.6,4051088.2,4167424.9,4158098.6,
13,1,4112570.8,4142215.1,4297443.8,4290394,4204002.7,4240454.8,4073834.5,4085660.9,3983968.3,4145370.7,4101937.8,4137776.1,4208103.9,4115890.5,4128119.1,4053688.8,4104630.8,
14,1,4017284,4173141.4,4126830.3,4329617.8,4324364.6,4251181.7,4257103,4073481.6,4069587.7,4167420,4140969.3,4067162.1,4137911,4162575.1,4207678.2,4100637.5,4082734.8,
15,1,4034210.6,4014655.1,4108912.2,4162640.5,4320504.1,4331795.6,4219593.6,4262528.3,4119620.1,4213059.8,4136274,4158435.6,4110817.4,4179203.4,4186624.3,4223093.7,4126701.1,
16,1,3933499.2,4062340.9,4251718.2,4461541.5,4407319.2,4745004.4,4554572.6,4550044.6,4680808.5,4441346.6,4514158.6,4570398.8,4381192.1,4212700,4341268.8,4515328.1,4509136.9,
17,1,4020671,4059587.7,4267590.3,4259792.5,4333567.5,4267490,4522901.6,4631957.4,4370264.3,4727429.4,4464898,4248248.9,4601834.8,4395724.3,4411845.4,4358632,4442238.2,
18,1,4007093.3,3931606.4,3964457.5,4026553.9,3974546.1,3924756.4,4105095.8,4248596.4,4173148.6,4437347.6,4495680,4276028.9,3989456.4,4147071.1,4198690.2,4119936.2,4103245.8,
19,1,3931340.7,3976955.8,3589297.4,3458082.9,3626282,3647155.4,3767621.8,3620860,3882877.6,4009278.3,3874238.2,3985669.8,3886991.8,3949215.8,3701804.1,3698241.9,3709294.3,
20,1,3918295.2,4252565.4,4211379.5,4107933.7,4105276.7,4001476.7,4102774.1,4046687.7,4053843.3,4324846.9,4343004.2,4494539.8,4259109.1,4387889.9,4281840.8,4535691.9,4170211.1,
21,1,3777519.8,3882077.3,3940894.8,4190784.9,3994235.4,4107930.5,4192715,4052413.6,4044497,4224570.8,4447563.8,4519251.3,4497261.7,4260438,4346347.5,4356409.4,4271609.3,
22,1,3661747.7,3675036.6,4038817.1,4092345.8,4149097.7,4024549.3,3960461.1,4204859.3,4206501.5,4189482.7,4157115.3,4334916.6,4631654.4,4346591.6,4535790.4,4119422,4403880.5,
23,1,3702264.8,3768254.3,3733273.9,4041316,4004837.4,4086842.1,4029757,4284570.9,4044861.3,4066565.5,4353603.2,4313772.1,4448984.7,4541585.5,4283808.6,4420126.9,4329346.5,
24,1,3816335.1,3825640.7,3960082.1,3906565.1,4154218.9,4172479.2,4246220.2,3940038.1,4282768.2,4201347.1,4136605.1,4215766.6,4316297,4764482.3,4767351.5,4541496.5,4416220,
25,1,3692945.9,3667571.3,3696176.3,3916868,4100892,4381134.3,4263504.8,4245297.9,4249193.6,4172154.2,4234843.6,4045473,4166263.1,4076420.7,4591239.5,4803188.7,4514282,
26,1,3631235.7,3656799.4,3793745.6,3790059.4,3804090.6,4152888.9,4282405.8,4214409.1,4222246.7,3948519.3,4411548.9,4392991.3,4133082.7,4517636.6,4337478,4578614,4917106.3,
27,1,3617858,3633022.2,3765975.5,3717052.2,3864528.3,3761612.6,4191200.2,4368126,4251970.1,4107190.2,3976765.4,4071072.2,4465400.5,4565310.3,4311287.3,4207804.4,4567874.4,
28,1,3672914.4,3551736.2,3702931.4,3796053.3,3813702.2,3944632.9,3890051,4221255.4,4344402.4,4155223.5,3945013.7,4177593.9,4214977.2,4225794.4,4398255.7,4372328.2,4314505.6,
29,1,3931602.4,3800446.2,3762506.1,3787852.7,3918189,3897530.1,4038556.9,4008284.5,4187812.1,4326868.5,4196742.8,4206240.3,4158577.2,4045951.3,4228894.3,4471871.5,4431105.9,
30,1,4386633.5,4093092.5,3883870.3,3913621.7,3773900.9,4055518.4,4050677.1,4040152.2,4044358.9,4132041.6,4301251.2,4108062,4284134.2,4276767.4,4340061.3,4435595.5,4535625.2,
31,1,4051045.8,4210828,4112180.6,3703566.4,3744086.7,3768482.7,3875848.4,3835671.9,3925659.3,3965892.6,4120736.4,4222127.2,3978949.8,3947607.5,4078066.9,4261475.6,4413269.7,
32,1,4013734.4,4180681.6,4269862.3,4015037.4,3792932,3675607.4,3881781.4,3655514.5,3819068.6,3758733.1,3965437.2,4083254.9,4372765,4177762.2,4296287.1,4200625,4400920.7,
33,1,3763621,3989552.7,4227288.5,4363711.3,4067857.1,3878373.7,3615452,3927200.7,3636057,3834876,3746193.1,3925004.3,4093415.5,4368124.1,4128837.6,4300878.7,3943341,
34,1,4103777.4,3886102,4028260.4,4197115.5,4430074,3964663.9,3778222.6,3630137.2,3839093.2,3759559.6,3862882.9,3987307.8,3929457.8,4222478.2,4295816,4130372.5,4212278,
35,1,4238057.7,4025767.1,4142469.2,4311043.4,4307203.9,4511844.5,4161142.2,3883308.6,3809530.8,4008063.6,3871164.8,3950458.8,4038839.7,4158565.5,4487212.2,4324546.9,4242896,
36,1,4490134.8,4156495.4,4018603.3,3969147.4,4031431.4,4119279.9,4462079.4,4129119.2,3840832.1,3768087,3859989.3,3792128.4,3803414.7,3829976.9,3859754.7,4256514,4240287.7,
37,1,4473607.7,4468344.1,4153821.3,4049536.7,4006614.3,4008302,4189118.4,4372032.4,4125170.4,3839901.4,3769956.7,3713660.2,3931102.2,3767332.5,3972234.7,4003646.6,4234060.2,
38,1,4440263.1,4472697.8,4475905,4126116.5,4162308.3,4099404,4023483.7,4268067.7,4372423.1,4079002,3888376.2,3705365.1,3773378.9,3943958.6,3787450.7,3933403.9,4106707.9,
39,1,4401996.5,4524386.2,4493255.7,4335580.2,4143706.2,4032476.5,4070908.3,4080527.6,4296598.8,4237272.9,4028342.2,3978745.4,3673990.5,3701495.6,3808880.7,3869235.5,3949232,
40,1,4680809,4658553.1,4753720.3,4662215,4727817.8,4526315.9,4258702.7,4140923.6,4263661.8,4417320.8,4537123,4022283.4,4044378.2,3903230,3896893.4,3967053.2,4006982,
41,1,4423776.1,4443860.1,4365464.6,4710618.1,4438293.4,4344812.4,4299924.7,4065958.4,3974522.4,4187245.2,4346516,4472368.9,4033870.5,3745535.8,3849695.2,3987757.3,3809599.6,
42,1,4425964.4,4462550.5,4575230.8,4332055.4,4513029.1,4517732.6,4387429.5,4086479.7,3997534.1,3893687,4097991.7,4299920.4,4448301,4072739.5,3893845.1,3807448.6,3905990,
43,1,4521559.6,4509929.7,4503681.8,4575317.2,4404295.5,4620913.3,4462609.5,4563688,4235363.8,3965524.3,3898481.7,4061516.4,4130029.4,4410914.3,3989766.7,3857172.2,3775246.8,
44,1,4470109.8,4561297.5,4591500.4,4501593.5,4615953.7,4340158.7,4447022.8,4541927,4406285.5,4106562.3,3854790.8,3930940.8,4000141.9,4249181.9,4373018.4,3998514.3,3775356,
45,1,4387462.5,4448100.3,4513951.1,4591390.7,4771732.9,4757614.8,4512189.2,4594550.2,4496512.4,4553163.7,4071029.7,4150292.2,4114080.1,4194071.6,4226755.1,4479929.3,4101124.8,
46,1,4384263.9,4321545.6,4420571.3,4491370.6,4291244.2,4502545,4686792.6,4567506.6,4495731,4531090.9,4413143.5,4067085.7,4109274.2,3719028.5,4097166.5,4300424,4354648.7,
47,1,3914626.1,4256833.9,4232658.4,4398566.8,4568748.2,4460034.5,4468464.7,4664214.9,4503267.5,4456320.7,4487077.1,4391077.2,4215357.3,4280463,4050814.3,4018455,4114610,
48,1,3906411.8,4054261.4,4130993.8,4130602.2,4324971.3,4511184,4476567.7,4489012.2,4633850.8,4482413,4497421.8,4557219,4214936.2,4169791.2,4090413.6,3881518.3,4188760.7,
49,1,3843040.1,3907244.5,4121549.1,4210739.9,4278137.4,4286681.7,4498688.4,4385854.9,4582560.1,4484892.9,4576071,4417725.1,4406665.7,4244015.1,4098292.4,3998403.6,3902548.9,
50,1,3784831.9,4064768.6,4177263,4269731.9,4435248.8,4391173.5,4548222.3,4539518.8,4430950.2,4577856.6,4650060,4824366.1,4575096.7,4545159.1,4623867.5,4173812.2,4100034.6,
51,1,3710087.1,3695368.1,3669078.6,4060527.3,4020172.2,4304508.1,4240595.5,4295634.9,4385260.2,4440537.8,4489359.9,4704224.7,4463742.1,4409310.9,4483521.7,4405823.5,4028215.7,
52,1,3639758.6,3651158.5,3724758.1,3635689.7,3943203.9,4010240.4,4122583.3,4209086.1,4269138.2,4368040.2,4315015.5,4384834.9,4450375.9,4314051.3,4285460.4,4456737.4,4432617.3,
53,1,3587167.9,3495820.5,3706315.2,3653953,3561474.5,3867765.8,3988936,4275683.9,4282071.7,4344209.5,4337966.9,4244244.1,4606286.9,4581371.3,4311079.3,4383296.7,4516152.8,
54,1,3561908.2,3649722.7,3536697.8,3625820.6,3765592.9,3705384.1,3918386.6,3914002,4286596.8,4473281.1,4356341.4,4214090.8,4290525.7,4576497,4529029.5,4467074.3,4287175.4,
55,1,2823506,3474843.5,3634419,3612260.1,3568703.7,3708082.4,3829712.9,3835171.6,4071029.4,4154782.3,4321176,4475645.1,4332640.3,4437754.6,4321599.6,4452326,4521107.8,
56,1,2847258.8,2892032.9,3541776,3488769.3,3460373.8,3614763.9,3773845.3,3638075.3,3805600.2,3905919.8,4132345.1,4117145.5,4505538.7,4469183.1,4267983.7,4292491.6,4310035.3,
